"name","imageLink","price","url"
"Chaz Kangeroo Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh01-gray_main.jpg","$52","https://scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie"
"Teton Pullover Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh02-black_main.jpg","$70","https://scrapingcourse.com/ecommerce/product/teton-pullover-hoodie"
"Bruno Compete Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh03-black_main.jpg","$63","https://scrapingcourse.com/ecommerce/product/bruno-compete-hoodie"
"Frankie  Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh04-green_main.jpg","$60","https://scrapingcourse.com/ecommerce/product/frankie--sweatshirt"
"Hollister Backyard Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh05-white_main.jpg","$52","https://scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt"
"Stark Fundamental Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh06-blue_main.jpg","$42","https://scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie"
"Hero Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh07-gray_main.jpg","$54","https://scrapingcourse.com/ecommerce/product/hero-hoodie"
"Oslo Trek Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh08-brown_main.jpg","$42","https://scrapingcourse.com/ecommerce/product/oslo-trek-hoodie"
"Abominable Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh09-blue_main.jpg","$69","https://scrapingcourse.com/ecommerce/product/abominable-hoodie"
"Mach Street Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh10-blue_main.jpg","$62","https://scrapingcourse.com/ecommerce/product/mach-street-sweatshirt"
"Grayson Crewneck Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg","$64","https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt"
"Ajax Full-Zip Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg","$69","https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt"
"Grayson Crewneck Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg","$64","https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt"
"Ajax Full-Zip Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg","$69","https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt"
"Marco Lightweight Active Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg","$74","https://scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie"
"Beaumont Summit Kit","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj01-yellow_main.jpg","$42","https://scrapingcourse.com/ecommerce/product/beaumont-summit-kit"
"Hyperion Elements Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg","$51","https://scrapingcourse.com/ecommerce/product/hyperion-elements-jacket"
"Montana Wind Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg","$49","https://scrapingcourse.com/ecommerce/product/montana-wind-jacket"
"Kenobi Trail Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg","$47","https://scrapingcourse.com/ecommerce/product/kenobi-trail-jacket"
"Jupiter All-Weather Trainer","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj06-blue_main.jpg","$56.99","https://scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer"
"Orion Two-Tone Fitted Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg","$72","https://scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket"
"Lando Gym Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg","$99","https://scrapingcourse.com/ecommerce/product/lando-gym-jacket"
"Taurus Elements Shell","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj09-yellow_main.jpg","$65","https://scrapingcourse.com/ecommerce/product/taurus-elements-shell"
"Mars HeatTech&trade; Pullover","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj10-red_main.jpg","$66","https://scrapingcourse.com/ecommerce/product/mars-heattech&trade;-pullover"
"Grayson Crewneck Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg","$64","https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt"
"Ajax Full-Zip Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg","$69","https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt"
"Marco Lightweight Active Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg","$74","https://scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie"
"Beaumont Summit Kit","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj01-yellow_main.jpg","$42","https://scrapingcourse.com/ecommerce/product/beaumont-summit-kit"
"Hyperion Elements Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg","$51","https://scrapingcourse.com/ecommerce/product/hyperion-elements-jacket"
"Montana Wind Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg","$49","https://scrapingcourse.com/ecommerce/product/montana-wind-jacket"
"Kenobi Trail Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg","$47","https://scrapingcourse.com/ecommerce/product/kenobi-trail-jacket"
"Jupiter All-Weather Trainer","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj06-blue_main.jpg","$56.99","https://scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer"
"Orion Two-Tone Fitted Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg","$72","https://scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket"
"Lando Gym Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg","$99","https://scrapingcourse.com/ecommerce/product/lando-gym-jacket"
"Taurus Elements Shell","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj09-yellow_main.jpg","$65","https://scrapingcourse.com/ecommerce/product/taurus-elements-shell"
"Mars HeatTech&trade; Pullover","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj10-red_main.jpg","$66","https://scrapingcourse.com/ecommerce/product/mars-heattech&trade;-pullover"
"Grayson Crewneck Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg","$64","https://scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt"
"Ajax Full-Zip Sweatshirt","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh12-green_main.jpg","$69","https://scrapingcourse.com/ecommerce/product/ajax-full-zip-sweatshirt"
"Marco Lightweight Active Hoodie","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg","$74","https://scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie"
"Beaumont Summit Kit","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj01-yellow_main.jpg","$42","https://scrapingcourse.com/ecommerce/product/beaumont-summit-kit"
"Hyperion Elements Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg","$51","https://scrapingcourse.com/ecommerce/product/hyperion-elements-jacket"
"Montana Wind Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg","$49","https://scrapingcourse.com/ecommerce/product/montana-wind-jacket"
"Kenobi Trail Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg","$47","https://scrapingcourse.com/ecommerce/product/kenobi-trail-jacket"
"Jupiter All-Weather Trainer","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj06-blue_main.jpg","$56.99","https://scrapingcourse.com/ecommerce/product/jupiter-all-weather-trainer"
"Orion Two-Tone Fitted Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg","$72","https://scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket"
"Lando Gym Jacket","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg","$99","https://scrapingcourse.com/ecommerce/product/lando-gym-jacket"
"Taurus Elements Shell","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj09-yellow_main.jpg","$65","https://scrapingcourse.com/ecommerce/product/taurus-elements-shell"
"Mars HeatTech&trade; Pullover","https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj10-red_main.jpg","$66","https://scrapingcourse.com/ecommerce/product/mars-heattech&trade;-pullover"